"city","Latitude","Longitude","confirmedcases_09-02-2020","deaths_09-02-2020","confirmedcases_05-02-2020","deaths_05-02-2020","confirmedcases_06-02-2020","deaths_06-02-2020","confirmedcases_07-02-2020","deaths_07-02-2020","confirmedcases_08-02-2020","deaths_08-02-2020"
" Luohe, Henan",33.580873,114.016536,26,0,23,0,24,0,26,0,26,0
" Zibo, Shandong",36.813546,118.055019,15,0,12,0,14,0,15,0,15,0
" Xiangxi Prefecture, Hunan",28.312001,109.738781,8,0,6,0,7,0,7,0,7,0
" Suzhou, Anhui",33.646357,116.964358,27,0,24,0,25,0,25,0,25,0
" Huangshan, Anhui",29.714699,118.337521,9,0,9,0,9,0,9,0,9,0
" Huainan, Anhui",32.625478,116.999932,14,0,8,0,12,0,12,0,12,0
" Huaibei, Anhui",33.955844,116.798265,22,0,11,0,14,0,17,0,17,0
" Xuancheng, Anhui",30.940195,118.75868,5,0,4,0,4,0,5,0,5,0
" Taizhou, Jiangsu",32.455536,119.922933,29,0,23,0,26,0,28,0,28,0
" Huai'an, Jiangsu",33.551052,119.113185,37,0,22,0,26,0,34,0,34,0
" Jieyang, Guangdong",23.549701,116.372708,7,0,6,0,6,0,6,0,7,0
" Qiqihar, Heilongjiang",47.354348,123.918186,27,0,6,0,20,0,27,0,27,0
" Lishui, Zhejiang",28.46763,119.922796,16,0,16,0,16,0,16,0,16,0
" Huzhou, Zhejiang",30.89441,120.086809,9,0,9,0,9,0,9,0,9,0
" Handan, Hebei",36.625656,114.538961,22,0,14,0,14,0,18,0,18,0
" Yakeshi (Hulun Buir), Inner Mongolia",49.285901,120.711735,1,0,1,0,1,0,1,0,1,0
" Otog Qianqi (Ordos), Inner Mongolia",38.182362,107.477514,1,0,1,0,1,0,1,0,1,0
" Dongsheng (Ordos), Inner Mongolia",39.822507,109.963338,1,0,1,0,1,0,1,0,1,0
" Erenhot (Xilin Gol), Inner Mongolia",43.653169,111.977943,1,0,1,0,1,0,1,0,1,0
" Dingxi, Gansu",35.580662,104.626282,6,0,3,0,3,0,3,0,3,0
" Jiangbei District, Chongqing",29.606703,106.574271,20,0,16,0,16,0,18,0,19,0
" Tongliang District, Chongqing",29.844811,106.056404,7,0,7,0,7,0,7,0,7,0
" Dazu District, Chongqing",29.707032,105.721733,10,0,7,0,7,0,7,0,8,0
" Garze, Sichuan",30.04952,101.96231,17,0,8,0,10,0,12,0,12,0
" Nanchong, Sichuan",30.837793,106.110698,30,0,27,0,28,0,29,0,29,0
" Meishan, Sichuan",30.07728,103.848396,5,0,5,0,5,0,5,0,5,0
" Leshan, Sichuan",29.552115,103.765678,3,0,2,0,2,0,2,0,2,0
" Yingkou, Liaoning",40.667433,122.235084,1,0,1,0,1,0,1,0,1,0
" Dandong, Liaoning",40.000787,124.35445,7,0,3,0,3,0,7,0,7,0
" Panjin, Liaoning",41.119997,122.070714,11,0,6,0,6,0,8,0,11,0
" Hanzhong, Shaanxi",33.06748,107.023323,22,0,17,0,20,0,20,0,21,0
" Ili, Xinjiang",43.916823,81.324136,9,0,7,0,9,0,9,0,9,0
" Orange County, California",33.7174708,-117.8311428,1,0,1,0,1,0,1,0,1,0
" Meizhou, Guangdong",24.288578,116.122523,12,0,9,0,10,0,10,0,12,0
" Nanping, Fujian",26.641774,118.17771,12,0,11,0,12,0,12,0,12,0
" Putian, Fujian",25.454084,119.007777,44,0,37,0,38,0,38,0,42,0
" Dehong, Yunnan",24.433353,98.584895,4,0,4,0,4,0,4,0,4,0
" Baoshan, Yunnan",25.112046,99.1617610000001,9,0,7,0,8,0,8,0,9,0
" Zhaotong, Yunnan",27.338257,103.717465,10,0,8,0,10,0,10,0,10,0
" Jiamusi, Heilongjiang",46.799777,130.3188779,13,0,11,0,11,0,13,0,13,0
" Hua Hin District, Prachuap Khiri Khan",12.568452,99.9577223,3,0,3,0,3,0,3,0,3,0
" Zhenjiang, Jiangsu",32.187849,119.425836,9,0,5,0,6,0,8,0,8,0
" Los Angeles County, California",34.0522342,-118.2436849,1,0,1,0,1,0,1,0,1,0
" Shuozhou, Shanxi",39.331595,112.432825,4,0,3,0,4,0,4,0,4,0
" Lvliang, Shanxi",37.518314,111.144319,6,0,5,0,5,0,6,0,6,0
" Linfen, Shanxi",36.088005,111.518975,2,0,1,0,1,0,1,0,2,0
" Tempe (Maricopa County), Arizona",33.4255104,-111.9400054,1,0,1,0,1,0,1,0,1,0
" Baotou, Inner Mongolia",40.657978,109.840313,3,0,3,0,3,0,3,0,3,0
" Tongliao, Inner Mongolia",43.65289,122.243444,1,0,1,0,1,0,1,0,1,0
" Hinggan, Inner Mongolia",46.082462,122.037657,1,0,1,0,1,0,1,0,1,0
" Shangqiu, Henan",34.414961,115.656339,64,0,52,0,53,0,57,0,57,0
" Hebi, Henan",35.748233,114.297201,11,0,10,0,10,0,10,0,10,0
" Xuchang, Henan",34.035771,113.852454,28,0,19,0,24,0,26,0,26,0
" Kaifeng, Henan",34.797281,114.307582,20,0,12,0,17,0,18,0,18,0
" Xuzhou, Jiangsu",34.205768,117.284124,49,0,39,0,45,0,45,0,45,0
" Shanwei, Guangdong",22.786186,115.375158,5,0,5,0,5,0,5,0,5,0
" Tongnan District, Chongqing",30.191013,105.840555,13,0,5,0,7,0,10,0,13,0
" Jiangjin District, Chongqing",29.290069,106.259281,4,0,3,0,3,0,4,0,4,0
" Dadukou District, Chongqing",29.484527,106.482346,3,0,3,0,3,0,3,0,3,0
" Qijiang District, Chongqing",29.028066,106.651361,15,0,10,0,12,0,13,0,14,0
" Banan District, Chongqing",29.402408,106.540256,3,0,3,0,3,0,3,0,3,0
" Qitaihe, Heilongjiang",45.771726,131.0031381,10,0,8,0,9,0,10,0,10,0
" Shuangyashan, Heilongjiang",46.646508,131.159133,36,0,12,0,16,0,36,0,36,0
" Qiannan, Guizhou",26.254092,107.522097,7,0,6,0,6,0,6,0,6,0
" Linxia, Gansu",35.601182,103.210538,2,0,2,0,2,0,2,0,2,0
" Zhangye, Gansu",38.925875,100.449818,2,0,2,0,2,0,2,0,2,0
" Longnan, Gansu",33.400684,104.921841,4,0,4,0,4,0,4,0,4,0
" Langfang, Hebei",39.538047,116.683752,15,0,12,0,13,0,14,0,14,0
" Xingtai, Hebei",37.070834,114.504677,19,0,16,0,16,0,19,0,19,0
" Ziyang, Sichuan ",30.128901,104.627636,2,0,2,0,2,0,2,0,2,0
" Liangshan Prefecture, Sichuan",27.88157,102.267712,7,0,6,0,7,0,7,0,7,0
" Yibin, Sichuan ",28.751836,104.643159,9,0,7,0,7,0,8,0,8,0
" Seongnam, Gyeonggi",37.4449168,127.1388684,4,0,4,0,4,0,4,0,4,0
" Weinan, Shaanxi",34.49938,109.502882,9,0,6,0,9,0,9,0,9,0
" Zaozhuang, Shandong",34.810487,117.323725,20,0,16,0,17,0,19,0,19,0
" Sihanoukville, Preah Sihanouk Province",10.6267867,103.5115545,1,0,1,0,1,0,1,0,1,0
" Colombo (commercial capital), Western Province",6.9270786,79.8612430000001,1,0,1,0,1,0,1,0,1,0
" Starnberg Area, Bavaria",47.9999615,11.339009,5,0,5,0,5,0,5,0,5,0
" Yingtan, Jiangxi",28.260189,117.069202,10,0,8,0,9,0,9,0,9,0
" Jiaozuo, Henan",35.215892,113.241823,18,0,12,0,15,0,17,0,17,0
" Tai'an, Shandong",36.200252,117.087614,20,0,12,0,18,0,20,0,20,0
" Shennongjia, Hubei",31.743483,110.680447,10,0,10,0,10,0,10,0,10,0
" Nan'an District, Chongqing",29.500296,106.644428,8,0,7,0,8,0,8,0,8,0
" Qianjiang District, Chongqing",29.533609,108.770677,2,0,2,0,2,0,2,0,2,0
" Shihezi (8th Division), Xinjiang",44.306097,86.080602,1,0,1,0,1,0,1,0,1,0
" Kuytun (7th Division), Xinjiang",44.426529,84.903267,1,0,1,0,1,0,1,0,1,0
" Turpan, Xinjiang",42.951303,89.189752,1,0,1,0,1,0,1,0,1,0
" Jinchang, Gansu",38.520089,102.188043,1,0,1,0,1,0,1,0,1,0
" Tianshui, Gansu",34.580885,105.72498,10,0,10,0,10,0,10,0,10,0
" Hengshui, Hebei",37.73892,115.670177,7,0,5,0,5,0,7,0,7,0
" Tangshan, Hebei",39.630867,118.180193,19,0,11,0,12,0,17,0,17,0
" Wuzhong, Ningxia ",37.99746,106.198393,9,0,7,0,7,0,7,0,9,0
" Gongzhuling (Siping), Jilin",43.504687,124.82283,4,0,3,0,4,0,4,0,4,0
" Qiongzhong County, Hainan",19.033369,109.838389,1,0,1,0,1,0,1,0,1,0
" Dongfang, Hainan",19.09535,108.651815,3,0,2,0,2,0,2,0,3,0
" Qionghai, Hainan",19.258341,110.474648,6,0,6,0,6,0,6,0,6,0
" Liaoyang, Liaoning",41.267244,123.236944,2,0,2,0,2,0,2,0,2,0
" Longyan, Fujian",25.075123,117.017536,4,0,2,0,2,0,2,0,2,0
" Baoji, Shaanxi",34.363184,107.237743,12,0,10,0,10,0,10,0,10,0
" Hohhot, Inner Mongolia",40.842356,111.749995,7,0,4,0,5,0,5,0,5,0
" Heyuan, Guangdong",23.743685,114.700961,3,0,1,0,1,0,1,0,1,0
" Jinzhou, Liaoning",41.095685,121.1268459,8,0,7,0,7,0,7,0,7,0
" Sapporo, Hokkaido",43.0617713,141.3544507,1,0,1,0,1,0,1,0,1,0
" Changhua County, Western Taiwan",24.1246022,120.5163949,2,0,2,0,2,0,2,0,2,0
" Taipei City, Taiwan",25.0329636,121.5654268,2,0,2,0,2,0,2,0,2,0
" Langkawi, Kedah",6.35,99.8,2,0,2,0,2,0,2,0,2,0
" Vancouver, BC",49.2827291,-123.1207375,4,0,2,0,2,0,2,0,4,0
" Puyang, Henan",35.761829,115.029215,5,0,4,0,4,0,5,0,5,0
" Susong, Anhui",30.153746,116.129105,6,0,6,0,6,0,6,0,6,0
" Bazhong, Sichuan",31.867903,106.747477,20,0,12,0,15,0,19,0,19,0
" Guangyuan, Sichuan",32.435435,105.843357,6,0,6,0,6,0,6,0,6,0
" Zhangjiakou, Hebei",40.767544,114.886335,13,0,9,0,10,0,12,0,12,0
" Tonghua, Jilin",41.728401,125.939697,2,0,1,0,1,0,1,0,1,0
" Jixi, Heilongjiang",45.295075,130.969333,29,0,9,0,12,0,12,0,12,0
" Pingliang, Gansu",35.543061,106.665131,2,0,1,0,1,0,1,0,1,0
" Maoming, Guangdong",21.662991,110.925439,6,0,5,0,6,0,6,0,6,0
" Yuzhong District, Chongqing",29.552736,106.568896,19,0,13,0,16,0,17,0,19,0
" Wuyuan County (Bayan Nur), Inner Mongolia",41.088421,108.267562,2,0,2,0,2,0,2,0,2,0
" Linxi (Chifeng), Inner Mongolia",43.61812,118.05545,1,0,1,0,1,0,1,0,1,0
" Chifeng, Inner Mongolia",42.25785,118.886931,3,0,1,0,2,0,2,0,2,0
" Pu'er, Yunnan",22.825065,100.966512,4,0,5,0,4,0,4,0,4,0
" Dubai, Emirate of Dubai",25.2048493,55.2707828,7,0,5,0,5,0,5,0,5,0
" Gold Coast, Queensland",-28.016667,153.4,5,0,3,0,3,0,4,0,5,0
" Rovaniemi, Lapland ",66.5039478,25.7293906,1,0,1,0,1,0,1,0,1,0
" Osaka, Kansai",34.6937249,135.5022535,1,0,1,0,1,0,1,0,1,0
" Yongchuan District, Chongqing",29.356117,105.927375,3,0,3,0,3,0,3,0,3,0
" Wulong District",29.325601,107.760025,1,0,1,0,1,0,1,0,1,0
" Hezhou, Guangxi",24.403582,111.566694,4,0,4,0,4,0,4,0,4,0
" Qinzhou, Guangxi",21.979933,108.654146,7,0,3,0,4,0,7,0,7,0
" Changyuan City (Xinxiang), Henan",35.201548,114.668936,2,0,2,0,2,0,2,0,2,0
" Huaxian County (Anyang), Henan",35.575417,114.519311,1,0,1,0,1,0,1,0,1,0
" Zunyi, Guizhou",27.725654,106.927389,12,0,9,0,9,0,9,0,11,0
" Qiandongnan, Guizhou",26.583442,107.982859,5,0,4,0,5,0,5,0,5,0
" Bijie, Guizhou",27.283955,105.291643,13,0,9,0,11,0,13,0,13,0
" Yanbian, Jilin",42.909408,129.4718681,5,0,3,0,3,0,4,0,4,0
" Zhangjiajie, Hunan",29.117096,110.479191,5,0,3,0,3,0,3,0,3,0
" Da Hinggan Ling, Heilongjian",52.335262,124.711526,2,0,2,0,2,0,2,0,2,0
" Hegang, Heilongjiang ",47.349916,130.297964,2,0,2,0,2,0,2,0,2,0
" Hancheng (Weinan), Shaanxi",35.476788,110.442846,1,0,1,0,1,0,1,0,1,0
" Yulin, Shaanxi",38.28539,109.734589,2,0,1,0,1,0,1,0,2,0
" Dalad (Ordos), Inner Mongolia",40.412438,110.033833,9,0,7,0,9,0,9,0,9,0
" Lhasa, Tibet",29.652491,91.17211,1,0,1,0,1,0,1,0,1,0
" Ningdongzhen, Ningxia",38.16443,106.586163,1,0,1,0,1,0,1,0,1,0
" Thrissur, Kerala",10.5276416,76.2144349,1,0,1,0,1,0,1,0,1,0
" Thanh Hóa, Thanh Hoa",19.806692,105.7851816,1,0,1,0,1,0,1,0,1,0
" Hanoi, Red River Delta (capital)",21.0277644,105.8341598,2,0,2,0,2,0,2,0,2,0
" Kyoto Prefecture",35.011564,135.7681489,2,0,1,0,1,0,2,0,2,0
" Rome, Lazio",41.9027835,12.4963655,3,0,2,0,2,0,2,0,3,0
" Traunstein, Bavaria",47.8677574,12.6384037,4,0,3,0,3,0,3,0,4,0
" Rongchang District, Chongqing",29.405002,105.594623,8,0,8,0,8,0,8,0,8,0
" Panzhihua, Sichuan",26.582347,101.718637,11,0,10,0,11,0,11,0,11,0
" Aba Prefecture, Sichuan",31.899413,102.224653,1,0,1,0,1,0,1,0,1,0
" Yongcheng (Shangqiu), Henan",33.929291,116.4495,8,0,8,0,8,0,8,0,8,0
" Aksu Region, Xinjiang",41.168779,80.2606049999999,1,0,1,0,1,0,1,0,1,0
" Ding'an, Hainan",19.681434,110.35889,3,0,3,0,3,0,3,0,3,0
" Changjiang County, Hainan",19.298184,109.055739,4,0,3,0,3,0,3,0,4,0
" Siziwang (Ulanqab), Inner Mongolia",41.533462,111.706617,1,0,1,0,1,0,1,0,1,0
" Huade (Ulanqab), Inner Mongolia",41.90456,114.010437,2,0,2,0,2,0,2,0,2,0
" Iksan, Honam",35.9582341,126.9507864,1,0,1,0,1,0,1,0,1,0
" Jiangmen, Guangdong",22.579117,113.081508,14,0,6,0,7,0,7,0,9,0
" Newcastle, North East England",54.978252,-1.61778000000004,2,0,2,0,2,0,2,0,2,0
" Chiba Prefecture",35.6074041,140.1065366,3,0,2,0,2,0,3,0,3,0
" Fürstenfeldbruck, Bavaria",48.1739373,11.2430079000001,1,0,1,0,1,0,1,0,1,0
" Jönköping, Småland",57.7826137,14.1617876,1,0,1,0,1,0,1,0,1,0
" London, Ontario",42.9849233,-81.2452768,1,0,1,0,1,0,1,0,1,0
" Fuxin, Liaoning",42.021602,121.670273,7,0,7,0,7,0,7,0,7,0
" Anshan, Liaoning",41.108647,122.994329,3,0,9,0,9,0,1,0,3,0
" Santa Clara County, California",37.3336581,-121.8907041,2,0,2,0,2,0,2,0,2,0
" Shapingba, Chongqing",29.541144,106.456877,2,0,2,0,2,0,2,0,2,0
" La Gomera, Canarias",28.1033035,-17.2193578,1,0,1,0,1,0,1,0,1,0
" Xinzhou, Shanxi",38.416663,112.734174,6,0,3,0,3,0,3,0,3,0
" Jincheng, Shanxi",35.490701,112.851831,8,0,7,0,7,0,7,0,8,0
" Qinhuangdao, Hebei",39.935361,119.600523,5,0,2,0,3,0,3,0,3,0
" Chaozhou, Guangdong",23.656703,116.622756,5,0,4,0,4,0,4,0,5,0
" Ledong, Hainan",18.750259,109.173054,1,0,1,0,1,0,1,0,1,0
" Qoqek (9th Division), Xinjiang",46.745364,82.980316,4,0,4,0,4,0,4,0,4,0
" Bayan Nur, Inner Mongolia",40.743213,107.387657,2,0,1,0,2,0,2,0,2,0
" Vạn Ninh District, Khan Hoa",12.7243439,109.2626992,1,0,1,0,1,0,1,0,1,0
" Lincang, Yunnan",23.884154,100.088824,1,0,1,0,1,0,1,0,1,0
" Adelaide, South Australia",-34.9284989,138.6007456,2,0,2,0,2,0,2,0,2,0
" Boston, Massachusetts ",42.3600825,-71.0588801,1,0,1,0,1,0,1,0,1,0
" Munich, Bavaria",48.1351253,11.5819805,2,0,1,0,1,0,1,0,1,0
" Gannan, Gansu",34.983385,102.911027,2,0,1,0,1,0,1,0,2,0
" Guigang, Guangxi",23.11153,109.598926,7,0,5,0,5,0,7,0,7,0
" Anshun, Guizhou",26.253088,105.947595,4,0,2,0,3,0,3,0,3,0
" Dengzhou (Nangyang), Henan",32.687733,112.087455,1,0,1,0,1,0,1,0,1,0
" Alappuzha, Kerala ",9.4980667,76.3388484,1,0,1,0,1,0,1,0,1,0
" Heihe, Heilongjiang ",50.245129,127.528293,1,0,1,0,1,0,1,0,1,0
" Haibei, Qinghai",36.954413,100.900997,3,0,3,0,3,0,3,0,3,0
" Tumed Youqi (Baotou), Inner Mongolia",40.569426,110.524262,6,0,3,0,4,0,4,0,6,0
" Wuhai, Inner Mongolia",39.655248,106.794216,2,0,1,0,2,0,2,0,2,0
" Frankfurt, Hesse",50.1109221,8.68212670000003,2,0,2,0,2,0,2,0,2,0
" Chuxiong Prefecture, Yunnan",25.045532,101.528068,4,0,3,0,4,0,4,0,4,0
" Qingyang, Gansu",35.709077,107.643631,1,0,1,0,1,0,1,0,1,0
" High-Tech Zone, Chongqing",29.5279566,106.4874971,4,0,2,0,2,0,4,0,4,0
" San Benito County, California",36.5760883,-120.9876321,2,0,2,0,2,0,2,0,2,0
" Bình Xuyên District, Vinh Phuc ",21.313857,105.6764461,4,0,2,0,2,0,2,0,4,0
" Jiyuan Demonstration Area, Henan",35.067243,112.601918,4,0,2,0,2,0,3,0,3,0
" Wenchang, Hainan",19.543278,110.797759,3,0,1,0,1,0,1,0,3,0
" Kasaragod, Kerala ",12.5080019,74.9882114,1,0,1,0,1,0,1,0,1,0
" Pengshui County, Chongqing",29.293902,108.165537,2,0,2,0,2,0,2,0,2,0
" Liaoyuan, Jilin",42.887766,125.14366,5,0,3,0,3,0,5,0,5,0
" Wujiaqu (6th Division), Xinjiang",44.166756,87.54324,1,0,1,0,1,0,1,0,1,0
" Changji Prefecture, Xinjiang",44.011182,87.308224,2,0,1,0,2,0,2,0,2,0
" Shizuishan, Ningxia",38.983236,106.383303,1,0,1,0,1,0,1,0,1,0
" Yangling Area (Xianyang), Shaanxi",34.272117,108.084731,1,0,1,0,1,0,1,0,1,0
" Morin Dawa (Hulun Buir), Inner Mongolia",48.477728,124.519023,3,0,1,0,1,0,1,0,3,0
" Tam Đảo District, Vin Phuc",21.4747064,105.5708865,2,0,1,0,1,0,1,0,1,0
" Gwangju, Honam",35.1595454,126.8526012,2,0,1,0,2,0,2,0,2,0
" Sungai Buloh, Selangor",3.20933,101.5613392,1,0,1,0,1,0,1,0,1,0
" Kuala Lumpur, Greater Kuala Lumpur (capital)",3.139003,101.686855,2,0,1,0,1,0,1,0,2,0
" Brussels, Brussels-Capital Region (Capital)",50.8503396,4.35171030000004,1,0,1,0,1,0,1,0,1,0
" Yokohama, Kanagawa",35.4436739,139.6379639,61,0,10,0,10,0,20,0,20,0
" Wenshan, Yunnan",23.400733,104.216248,1,0,,,1,0,1,0,1,0
" Guri, Gyeonggi",37.5943124,127.1295646,1,0,,,1,0,1,0,1,0
" Baoting, Hainan",18.63913,109.70259,2,0,,,2,0,2,0,2,0
" Cebu City, Central Visayas",10.3156992,123.8854366,1,0,,,1,0,1,0,1,0
" Seremban, Negeri Sembilan",2.725889,101.9378239,2,0,,,,,2,0,2,0
" Youyang, Chongqing",28.841244,108.767747,1,0,,,,,1,0,1,0
" Madison, Wisconsin",43.0730517,-89.4012302,1,0,,,1,0,1,0,1,0
" Suwon, Gyeonggi",37.2635727,127.0286009,1,0,,,,,1,0,1,0
" Naju, South Jeolla",35.0160601,126.7107572,1,0,,,,,1,0,1,0
" Laibin, Guangxi",23.750306,109.221465,2,0,,,,,1,0,1,0
" Bayingol, Xinjiang",41.764115,86.145298,1,0,,,,,1,0,1,0
" Sungai Petani, Kedah",5.643589,100.4894179,1,0,,,,,,,1,0
" Wansheng Economic Development Zone , Chongqing",28.958016,106.926344,1,0,,,,,,,1,0
" Brighton, South East England",50.82253,-0.137162999999987,1,0,,,,,,,1,0
" Asan, South Chungcheong Province",36.789796,127.0018494,1,0,,,,,,,,
" Huolin Gol (Tongliao), Inner Mongolia",45.533962,119.68187,1,0,,,,,,,,
" Les Contamines-Montjoie, Auvergne-Rhône-Alpes",45.822746,6.72655299999997,5,0,,,,,,,,
" Kanagawa prefecture",35.4913535,139.284143,1,0,1,0,1,0,1,0,1,0
" Taiwan",23.69781,120.960515,10,0,5,0,5,0,5,0,10,0
" Aichi Prefecture",35.1529989,136.902356,3,0,3,0,3,0,3,0,3,0
" Nara Prefecture",34.2975528,135.8279734,1,0,1,0,1,0,1,0,1,0
" Mie Prefecture",33.8143901,136.0487047,1,0,1,0,1,0,1,0,1,0
" Thailand",15.870032,100.992541,7,0,7,0,7,0,7,0,7,0
" Transbaikal Region",53.0928771,116.9676561,1,0,1,0,1,0,1,0,1,0
" Tyumen Oblast",56.9634387,66.9482780000001,1,0,1,0,1,0,1,0,1,0